"","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings","sex","maturity","percent.weight"
"961","M",0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7,"M","mature",1.84109589041096
"962","F",0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9,"F","mature",1.77310924369748
"963","I",0.505,0.39,0.15,0.685,0.362,0.131,0.156,8,"I","infant",2.32051282051282
"964","M",0.505,0.41,0.125,0.642,0.289,0.133,0.155,9,"M","mature",1.86451612903226
"965","I",0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8,"I","infant",1.35135135135135
"966","M",0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8,"M","mature",2.07105263157895
"967","I",0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7,"I","infant",1.36
"968","I",0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7,"I","infant",2.03055555555556
"969","M",0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8,"M","mature",1.84084880636605
"970","M",0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8,"M","mature",1.9769820971867
"971","F",0.515,0.43,0.14,0.834,0.367,0.2,0.23,8,"F","mature",1.59565217391304
"972","M",0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7,"M","mature",2.38387096774194
"973","F",0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8,"F","mature",1.98571428571429
"974","M",0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11,"M","mature",1.96470588235294
"975","F",0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8,"F","mature",1.58536585365854
"976","F",0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8,"F","mature",1.62376237623762
"977","M",0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7,"M","mature",1.45967741935484
"978","F",0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,"F","mature",1.91951219512195
"979","M",0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8,"M","mature",1.32482598607889
"980","M",0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8,"M","mature",1.70159453302961
"981","F",0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9,"F","mature",2.4954128440367
"982","F",0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9,"F","mature",1.33818181818182
"983","F",0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9,"F","mature",1.6514598540146
"984","F",0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,"F","mature",1.70833333333333
"985","M",0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10,"M","mature",1.90677966101695
"986","M",0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10,"M","mature",1.49562682215743
"987","F",0.57,0.455,0.15,1.107,0.54,0.255,0.27,8,"F","mature",2
"988","M",0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8,"M","mature",2.19375
"989","M",0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7,"M","mature",1.90420560747664
"990","M",0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9,"M","mature",1.70862068965517
"991","F",0.575,0.46,0.16,1.103,0.538,0.221,0.249,9,"F","mature",2.16064257028112
"992","F",0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7,"F","mature",1.92241379310345
"993","F",0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,"F","mature",1.48369565217391
"994","M",0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10,"M","mature",1.75837742504409
"995","F",0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8,"F","mature",1.92586206896552
"996","M",0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9,"M","mature",2.47257383966245
"997","M",0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11,"M","mature",1.90727272727273
"998","M",0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8,"M","mature",1.55016181229773
"999","F",0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8,"F","mature",2.062
"1000","F",0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11,"F","mature",2.91290322580645
"1001","F",0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11,"F","mature",2.346
"1002","M",0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9,"M","mature",2.26642335766423
"1003","F",0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9,"F","mature",1.85089463220676
"1004","M",0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9,"M","mature",1.91851851851852
"1005","F",0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9,"F","mature",1.78474576271186
"1006","M",0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9,"M","mature",2.08
"1007","M",0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11,"M","mature",2.05982905982906
"1008","M",0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11,"M","mature",1.83144246353323
"1009","M",0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10,"M","mature",1.68133535660091
"1010","F",0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8,"F","mature",1.77272727272727
"1011","F",0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11,"F","mature",1.53092783505155
"1012","F",0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10,"F","mature",1.70821917808219
"1013","M",0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10,"M","mature",1.40864197530864
"1014","F",0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10,"F","mature",1.36246418338109
"1015","F",0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,"F","mature",1.81904761904762
"1016","F",0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9,"F","mature",1.45760598503741
"1017","M",0.63,0.485,0.155,1.278,0.637,0.275,0.31,8,"M","mature",2.05483870967742
"1018","F",0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11,"F","mature",1.9015873015873
"1019","M",0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,"M","mature",1.60278207109737
"1020","M",0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,"M","mature",1.57721518987342
"1021","M",0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10,"M","mature",1.82643524699599
"1022","M",0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10,"M","mature",2.1044776119403
"1023","F",0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11,"F","mature",1.69437652811736
"1024","F",0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10,"F","mature",1.23375
"1025","F",0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10,"F","mature",1.92935635792779
"1026","M",0.645,0.52,0.175,1.636,0.779,0.342,0.432,11,"M","mature",1.80324074074074
"1027","M",0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8,"M","mature",1.7725
"1028","F",0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8,"F","mature",2.03571428571429
"1029","M",0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11,"M","mature",1.81375358166189
"1030","F",0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10,"F","mature",1.825
"1031","F",0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,"F","mature",1.33766233766234
"1032","M",0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9,"M","mature",1.53020134228188
"1033","M",0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11,"M","mature",1.44891304347826
"1034","M",0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10,"M","mature",1.39308176100629
"1035","F",0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9,"F","mature",3.77808219178082
"1036","F",0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10,"F","mature",2.11290322580645
"1037","F",0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11,"F","mature",1.56462585034014
"1038","M",0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9,"M","mature",1.24154589371981
"1039","M",0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10,"M","mature",1.22474226804124
"1040","F",0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6,"F","mature",1.9134328358209
"1041","M",0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11,"M","mature",1.70287141073658
"1042","F",0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10,"F","mature",1.69885057471264
"1043","F",0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12,"F","mature",1.38245931283906
"1044","M",0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12,"M","mature",1.45481927710843
"1045","M",0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8,"M","mature",2.03827160493827
"1046","M",0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10,"M","mature",1.86041666666667
"1047","F",0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,"F","mature",1.59741550695825
"1048","F",0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,"F","mature",1.71322620519159
"1049","M",0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11,"M","mature",1.84840182648402
"1050","M",0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10,"M","mature",1.84885126964933
"1051","F",0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11,"F","mature",1.64320987654321
"1052","F",0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11,"F","mature",1.88916666666667
"1053","M",0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12,"M","mature",1.62288477034649
"1054","I",0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4,"I","infant",1.26315789473684
"1055","I",0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3,"I","infant",1.63636363636364
"1056","I",0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4,"I","infant",1.42105263157895
"1057","I",0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4,"I","infant",2.21428571428571
"1058","I",0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4,"I","infant",1.8
"1059","I",0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4,"I","infant",1.3953488372093
"1060","I",0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,"I","infant",1.08888888888889
"1061","I",0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7,"I","infant",1.46
"1062","I",0.275,0.195,0.065,0.106,0.054,0.02,0.028,6,"I","infant",1.92857142857143
"1063","I",0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5,"I","infant",1.22058823529412
"1064","I",0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,"I","infant",1.35
"1065","I",0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,"I","infant",1.41025641025641
"1066","I",0.315,0.235,0.055,0.151,0.065,0.027,0.039,6,"I","infant",1.66666666666667
"1067","I",0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,"I","infant",1.66666666666667
"1068","I",0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,"I","infant",1.63636363636364
"1069","I",0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,"I","infant",1.83464566929134
"1070","I",0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,"I","infant",1.67910447761194
"1071","I",0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,"I","infant",1.79230769230769
"1072","I",0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,"I","infant",1.87692307692308
"1073","I",0.4,0.32,0.095,0.348,0.194,0.053,0.087,6,"I","infant",2.22988505747126
"1074","I",0.405,0.3,0.11,0.32,0.172,0.044,0.093,7,"I","infant",1.8494623655914
"1075","I",0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,"I","infant",1.43428571428571
"1076","I",0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6,"I","infant",1.24528301886792
"1077","I",0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,"I","infant",1.21256038647343
"1078","I",0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7,"I","infant",1.65714285714286
"1079","I",0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6,"I","infant",1.42613636363636
"1080","I",0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,"I","infant",1.55023923444976
"1081","M",0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,"M","mature",1.91787439613527
"1082","I",0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6,"I","infant",2.140625
"1083","I",0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,"I","infant",2.09433962264151
"1084","I",0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,"I","infant",1.2875
"1085","I",0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,"I","infant",1.43162393162393
"1086","I",0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,"I","infant",1.49615384615385
"1087","I",0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,"I","infant",1.82110091743119
"1088","I",0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,"I","infant",1.62357414448669
"1089","I",0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6,"I","infant",2.00833333333333
"1090","I",0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,"I","infant",1.91282051282051
"1091","I",0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6,"I","infant",1.98469387755102
"1092","I",0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,"I","infant",1.56862745098039
"1093","I",0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,"I","infant",1.53191489361702
"1094","M",0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,"M","mature",2.09302325581395
"1095","I",0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6,"I","infant",1.48591549295775
"1096","I",0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6,"I","infant",1.58461538461538
"1097","I",0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,"I","infant",1.88260869565217
"1098","I",0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,"I","infant",2.03903903903904
"1099","M",0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,"M","mature",1.66666666666667
"1100","I",0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7,"I","infant",1.56466876971609
"1101","I",0.5,0.375,0.12,0.542,0.215,0.116,0.17,9,"I","infant",1.26470588235294
"1102","I",0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8,"I","infant",1.8544776119403
"1103","M",0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6,"M","mature",1.8969465648855
"1104","F",0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7,"F","mature",1.7508896797153
"1105","I",0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,"I","infant",1.90384615384615
"1106","F",0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,"F","mature",1.88447653429603
"1107","I",0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,"I","infant",1.71475409836066
"1108","I",0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,"I","infant",1.29518072289157
"1109","I",0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,"I","infant",2.11666666666667
"1110","M",0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,"M","mature",1.90540540540541
"1111","I",0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,"I","infant",1.46178343949045
"1112","I",0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8,"I","infant",1.72455089820359
"1113","F",0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7,"F","mature",2.05905511811024
"1114","I",0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8,"I","infant",1.91176470588235
"1115","I",0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9,"I","infant",1.43051771117166
"1116","M",0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,"M","mature",1.8681592039801
"1117","I",0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8,"I","infant",2.11387900355872
"1118","I",0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,"I","infant",1.46842105263158
"1119","I",0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9,"I","infant",1.53550295857988
"1120","I",0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10,"I","infant",1.6490765171504
"1121","M",0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7,"M","mature",2.70833333333333
"1122","M",0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9,"M","mature",2.28421052631579
"1123","M",0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,"M","mature",2.11697247706422
"1124","F",0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8,"F","mature",2.44
"1125","F",0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,"F","mature",1.77130044843049
"1126","M",0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10,"M","mature",1.89838337182448
"1127","M",0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,"M","mature",1.98290598290598
"1128","M",0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,"M","mature",1.8961625282167
"1129","F",0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8,"F","mature",1.37142857142857
"1130","M",0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8,"M","mature",2.09756097560976
"1131","M",0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9,"M","mature",1.98478260869565
"1132","M",0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,"M","mature",2.81310679611651
"1133","F",0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9,"F","mature",1.68998109640832
"1134","M",0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9,"M","mature",2.166
"1135","F",0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8,"F","mature",1.87272727272727
"1136","I",0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8,"I","infant",1.52901785714286
"1137","F",0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7,"F","mature",1.75849056603774
"1138","F",0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10,"F","mature",2.15922330097087
"1139","M",0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,"M","mature",1.80630630630631
"1140","F",0.575,0.47,0.165,0.869,0.435,0.197,0.238,9,"F","mature",1.82773109243697
"1141","M",0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9,"M","mature",1.63269230769231
"1142","I",0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,"I","infant",1.28775510204082
"1143","M",0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9,"M","mature",2.40789473684211
"1144","M",0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9,"M","mature",1.88636363636364
"1145","M",0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,"M","mature",1.79811320754717
"1146","M",0.58,0.455,0.195,1.859,0.945,0.426,0.441,9,"M","mature",2.14285714285714
"1147","M",0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,"M","mature",1.71590909090909
"1148","M",0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,"M","mature",1.92094861660079
"1149","M",0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,"M","mature",2.38344226579521
"1150","F",0.58,0.45,0.155,0.93,0.385,0.246,0.265,9,"F","mature",1.45283018867925
"1151","M",0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,"M","mature",2.03404255319149
"1152","M",0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7,"M","mature",1.73396226415094
"1153","M",0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8,"M","mature",2.00416666666667
"1154","F",0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9,"F","mature",1.89083820662768
"1155","M",0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8,"M","mature",2.9
"1156","F",0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8,"F","mature",2.182
"1157","M",0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10,"M","mature",2.27555555555556
"1158","F",0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,"F","mature",2.09246575342466
"1159","M",0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,"M","mature",2.02554744525547
"1160","M",0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10,"M","mature",1.83596214511041
"1161","F",0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9,"F","mature",1.21288515406162
"1162","M",0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8,"M","mature",2.2008281573499
"1163","M",0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9,"M","mature",2.73298429319372
"1164","M",0.61,0.47,0.165,1.052,0.498,0.242,0.267,9,"M","mature",1.86516853932584
"1165","M",0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,"M","mature",1.78333333333333
"1166","F",0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,"F","mature",1.91097308488613
"1167","F",0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,"F","mature",1.56842105263158
"1168","M",0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8,"M","mature",2.14747474747475
"1169","M",0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,"M","mature",1.78170478170478
"1170","F",0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8,"F","mature",2.00533807829181
"1171","F",0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9,"F","mature",2.20933734939759
"1172","M",0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8,"M","mature",2.05244755244755
"1173","M",0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,"M","mature",2.05226480836237
"1174","M",0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10,"M","mature",1.64525547445255
"1175","F",0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9,"F","mature",1.77296360485269
"1176","M",0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,"M","mature",1.76536312849162
"1177","M",0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10,"M","mature",1.73092369477912
"1178","F",0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,"F","mature",1.73114754098361
"1179","F",0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,"F","mature",1.51118963486455
"1180","M",0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,"M","mature",1.92176870748299
"1181","M",0.655,0.515,0.16,1.31,0.553,0.369,0.345,11,"M","mature",1.60289855072464
"1182","F",0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,"F","mature",1.61675824175824
"1183","F",0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11,"F","mature",1.14705882352941
"1184","M",0.665,0.525,0.16,1.363,0.629,0.279,0.34,8,"M","mature",1.85
"1185","I",0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,"I","infant",1.67872044506259
"1186","F",0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,"F","mature",1.72096317280453
"1187","F",0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,"F","mature",1.40232312565998
"1188","M",0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10,"M","mature",1.7475
"1189","F",0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9,"F","mature",1.6
"1190","M",0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12,"M","mature",1.90297542043984
"1191","F",0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,"F","mature",2.15020297699594
"1192","M",0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10,"M","mature",2.02285714285714
"1193","M",0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9,"M","mature",2.0067264573991
"1194","M",0.7,0.575,0.19,2.273,1.095,0.418,0.638,12,"M","mature",1.71630094043887
"1195","F",0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9,"F","mature",2.13892365456821
"1196","F",0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,"F","mature",2.12458471760797
"1197","F",0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,"F","mature",1.62430939226519
"1198","M",0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12,"M","mature",2.06206896551724
"1199","M",0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10,"M","mature",2.11666666666667
"1200","F",0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10,"F","mature",1.90976744186047
"1201","F",0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10,"F","mature",1.73250239693193
"1202","M",0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,"M","mature",2.57355679702048
"1203","M",0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12,"M","mature",2.27746947835738
"1204","F",0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,"F","mature",1.92953367875648
"1205","M",0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,"M","mature",1.904
"1206","M",0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11,"M","mature",1.792
"1207","F",0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11,"F","mature",2.0348623853211
"1208","F",0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11,"F","mature",1.76344878408253
"1209","M",0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,"M","mature",1.39411764705882
"1210","F",0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11,"F","mature",2.53924914675768
"1211","I",0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6,"I","infant",1.30666666666667
"1212","I",0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4,"I","infant",1.58139534883721
"1213","I",0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5,"I","infant",1.31111111111111
"1214","I",0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,"I","infant",1.56
"1215","I",0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6,"I","infant",1.53521126760563
"1216","I",0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5,"I","infant",1.15789473684211
"1217","I",0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5,"I","infant",10.875
"1218","I",0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5,"I","infant",1.2247191011236
"1219","I",0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,"I","infant",1.19480519480519
"1220","I",0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,"I","infant",0.627777777777778
"1221","I",0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7,"I","infant",1.96153846153846
"1222","I",0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,"I","infant",1.77011494252874
"1223","I",0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7,"I","infant",2
"1224","I",0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,"I","infant",1.40909090909091
"1225","I",0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6,"I","infant",1.68181818181818
"1226","I",0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5,"I","infant",2.1
"1227","I",0.35,0.27,0.075,0.215,0.1,0.036,0.065,6,"I","infant",1.53846153846154
"1228","I",0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,"I","infant",1.62857142857143
"1229","I",0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4,"I","infant",1.3671875
"1230","I",0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6,"I","infant",1.39655172413793
"1231","I",0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,"I","infant",1.375
